1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562	1.1562
1.1562	1.1554	1.155	1.1547	1.1545	1.1543	1.1541	1.154	1.1539	1.1538	1.1537	1.1537	1.1537	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536	1.1536
1.1562	1.1545	1.1538	1.1533	1.1528	1.1524	1.1521	1.1518	1.1516	1.1514	1.1512	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511	1.1511
1.1562	1.1537	1.1526	1.1518	1.1511	1.1505	1.15	1.1496	1.1493	1.149	1.1487	1.1486	1.1486	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485	1.1485
1.1562	1.1528	1.1514	1.1503	1.1494	1.1486	1.148	1.1474	1.1469	1.1465	1.1462	1.1461	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146	1.146
1.1562	1.152	1.1502	1.1489	1.1477	1.1468	1.1459	1.1452	1.1446	1.1441	1.1438	1.1436	1.1435	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434	1.1434
1.1562	1.1512	1.1491	1.1474	1.146	1.1449	1.1439	1.1431	1.1423	1.1417	1.1413	1.141	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409	1.1409
1.1562	1.1504	1.1479	1.146	1.1444	1.143	1.1419	1.1409	1.14	1.1393	1.1388	1.1385	1.1384	1.1384	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383	1.1383
1.1562	1.1495	1.1467	1.1445	1.1427	1.1411	1.1398	1.1387	1.1377	1.1369	1.1363	1.136	1.1359	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358	1.1358
1.1562	1.1487	1.1455	1.1431	1.141	1.1393	1.1378	1.1365	1.1354	1.1345	1.1338	1.1335	1.1333	1.1333	1.1333	1.1333	1.1333	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332	1.1332
