8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6	8.6
8.6003	8.6537	8.6532	8.6513	8.6496	8.6483	8.6471	8.6462	8.6454	8.6448	8.6443	8.6441	8.644	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439	8.6439
8.6004	8.7072	8.7063	8.7024	8.6991	8.6964	8.6941	8.6923	8.6907	8.6895	8.6885	8.688	8.6878	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877	8.6877
8.6004	8.7605	8.7591	8.7534	8.7485	8.7444	8.741	8.7382	8.7359	8.734	8.7326	8.7319	8.7316	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314	8.7314
8.6004	8.8135	8.8118	8.8042	8.7976	8.7922	8.7878	8.7841	8.781	8.7784	8.7765	8.7756	8.7752	8.775	8.775	8.775	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749	8.7749
8.6004	8.8663	8.8642	8.8548	8.8466	8.8399	8.8344	8.8298	8.8259	8.8228	8.8204	8.8192	8.8187	8.8185	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184	8.8184
8.6004	8.9189	8.9165	8.9052	8.8955	8.8875	8.8808	8.8753	8.8708	8.867	8.8641	8.8627	8.8621	8.8619	8.8618	8.8618	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617	8.8617
8.6004	8.9713	8.9686	8.9555	8.9442	8.9349	8.9272	8.9208	8.9155	8.9111	8.9078	8.9061	8.9054	8.9052	8.9051	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905	8.905
8.6004	9.0235	9.0205	9.0056	8.9928	8.9822	8.9734	8.9661	8.9601	8.955	8.9513	8.9494	8.9486	8.9483	8.9482	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481	8.9481
8.6004	9.0754	9.0722	9.0556	9.0412	9.0293	9.0194	9.0113	9.0045	8.9989	8.9947	8.9926	8.9917	8.9914	8.9912	8.9912	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911	8.9911
8.6004	9.1271	9.1237	9.1053	9.0894	9.0763	9.0654	9.0564	9.0489	9.0426	9.038	9.0357	9.0347	9.0343	9.0341	9.0341	9.0341	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034	9.034
8.6004	9.1786	9.175	9.1549	9.1375	9.1231	9.1112	9.1013	9.0931	9.0863	9.0812	9.0786	9.0776	9.0771	9.077	9.0769	9.0769	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768	9.0768
8.6004	9.2299	9.2262	9.2044	9.1855	9.1698	9.1569	9.1461	9.1372	9.1298	9.1242	9.1215	9.1203	9.1198	9.1197	9.1196	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195	9.1195
8.6004	9.2809	9.2771	9.2537	9.2333	9.2164	9.2024	9.1908	9.1812	9.1732	9.1672	9.1642	9.163	9.1625	9.1622	9.1622	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621	9.1621
